,year,book_name,author
0,1981,The Snow Queen,조앤 D. 빈지
1,1982,다운빌로 스테이션,C. J. 체리
2,1983,파운데이션의 끝,아이작 아시모프
3,1984,스타타이드 라이징,데이비드 브린
4,1985,뉴로맨서,윌리엄 깁슨
5,1986,엔더의 게임,오슨 스콧 카드
6,1987,사자의 대변인,오슨 스콧 카드
7,1988,The Uplift War,데이비드 브린
8,1989,Cyteen,C. J. 체리
9,1990,히페리온,댄 시먼스
10,1991,보르게임,로이스 맥마스터 부졸드
11,1992,바라야 내전,로이스 맥마스터 부졸드
12,1993,심연 위의 불길,버너 빈지
13,1993,돔즈데이 북,코니 윌리스
14,1994,녹색 화성,킴 스탠리 로빈슨
15,1995,미러 댄스,로이스 맥마스터 부졸드
16,1996,다이아몬드 시대,닐 스티븐슨
17,1997,푸른 화성,킴 스탠리 로빈슨
18,1998,Forever Peace,조 홀드먼
19,1999,개는 말할 것도 없고,코니 윌리스
20,2000,A Deepness in the Sky,버너 빈지
21,2001,해리 포터와 불의 잔,J. K. 롤링
22,2002,신들의 전쟁,닐 게이먼
23,2003,Hominids,로버트 J. 소이어
24,2004,Paladin of Souls,로이스 맥마스터 부졸드
25,2005,조나단 스트레인지와 마법사 노렐,수재나 클라크
26,2006,Spin,로버트 찰스 윌슨
27,2007,Rainbows End,버너 빈지
28,2008,유대인 경찰연합,마이클 세이본
29,2009,그레이브야드 북,닐 게이먼
30,2010,와인드업 걸,파올로 바치갈루피
31,2010,이중 도시,차이나 미에빌
32,2011,블랙아웃,코니 윌리스
33,2012,타인들 속에서,조 윌턴
34,2013,레드셔츠,존 스칼지
35,2014,사소한 정의,앤 레키
36,2015,삼체,류츠신
37,2016,다섯 번째 계절,N. K. 제미신
38,2017,오벨리스크의 문,N. K. 제미신
39,2018,석조 하늘,N. K. 제미신
40,2019,The Calculating Stars,메리 로비네트 코왈
41,2020,A Memory Called Empire,아르카디 마틴
42,2021,Network Effect,마샤 웰스
43,2022,A Desolation Called Peace,아르카디 마틴
44,2023,Nettle & Bone,T. 킹 피셔